title,year,citations,source_database,source,draft_relevance_score,identity_representation,transgender_workplace_experience,iam_and_architecture,hr_and_organizational_systems,inclusive_design_and_vsd,relational_and_legal_status,ai_bias_and_digital_risk
ISJ Editorial,2018,15,openalex,Information Systems Journal,4,True,True,False,True,True,True,True
Supporting the Sharing of Mental Health Challenges in the Workplace: Findings from Comparative Case Study Research at Two Mental Health Services,2021,12,openalex,International Journal of Environmental Research and Public Health,4,True,False,True,True,True,False,False
Inclusion and protection in tension: Reflections on gathering sexual orientation and gender identity data in the workplace,2024,10,openalex,Journal of Social Issues,4,True,True,False,True,True,False,True
Equitable and inclusive mentoring programs for women faculty,2023,10,openalex,Journal of Public Affairs Education,4,True,True,False,True,True,False,False
FedWare: Middleware Services to Cope with Information Consistency in Federated Identity Management,2010,10,openalex,,4,True,False,True,True,True,False,False
Current challenges faced by transgender and gender-diverse patients and providers in anesthesiology,2022,9,openalex,International Anesthesiology Clinics,4,True,True,False,True,True,True,True
Reversing the symbolic order of discrimination: results from a field experiment on the discrimination of migrants and transgender people in theatre,2020,9,openalex,Journal of Ethnic and Migration Studies,4,True,True,False,True,True,False,True
When steve becomes Stephanie.,2008,9,openalex,PubMed,4,True,True,False,True,True,False,False
Trans People in the Workplace: Possibilities for Subverting Heteronormativity,2023,8,openalex,Work Employment and Society,4,True,True,False,True,True,False,False
Celebrating the “Invisible”: The Role of Organizational Diversity Approaches on Attracting and Retaining LGBTQ + Talent,2024,7,openalex,Journal of Business and Psychology,4,True,True,False,True,True,False,False
Equality in Healthcare: The Formation and Ongoing Legacy of an LGBT Advisory Council,2015,7,openalex,LGBT Health,4,True,True,False,True,True,False,True
